dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,note.n_candidates_requested,note.n_candidates_capped_by,note.n_candidates_kept_fraction,repeat,n_candidates_requested,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity
ml100k,popularity,quota_mmr,200,200,10,0.0001587100050787,0.2988828000015928,0.0859375,0.354682999997749,0.011574074074074,0.3039521000027889,0.0091911764705882,0.3290092999959597,0.5,0.50203980000515,0.0860962100050787,0.0026038262527233,0.0724111841908188,0.91276953537174,0.125,0.2504999999999999,0.0578206078576723,0.9834418087472202,0.515,2,0.3,1.0,,,,2,200,ok,,,1349,943,0.0773079623019132,True,0.4,0.3577946435369597
ml100k,itemknn,none,200,200,10,0.1875,0.3892211999991559,0.0,0.0,0.0260416666666666,0.3170376999987638,0.0094696969696969,0.3078055000005406,0.0,0.0,0.1875,0.0001775568181818,0.044833651844888,1.0,0.1,1.1585,0.0941438102297998,0.9594002965159376,0.675,2,0.3,1.0,,,,2,200,ok,,,1349,943,0.0773079623019132,True,0.4,
ml100k,itemknn,quota_mmr,200,200,10,0.1953125,0.382771499993396,0.08984375,0.3537280000018654,0.0260416666666666,0.3212476999979117,0.0094696969696969,0.3049477000022307,0.5,0.5278641000040807,0.28515625,0.0026775568181818,0.05286461796735,0.9130152151378188,0.12,0.2515,0.1052631578947368,0.9571719792438844,0.675,2,0.3,1.0,,,,2,200,ok,,,1349,943,0.0773079623019132,True,0.4,0.3931850457599202
ml100k,als,none,200,200,10,5.46875,4.780207700001483,0.0,0.0,0.0183823529411764,0.2171956000020145,0.009765625,0.3092040999981691,0.0,0.0,5.46875,0.0001407398897058,0.0525673064972207,1.0,0.115,0.8280000000000001,0.4114158636026686,0.7842920681986657,0.72,2,0.3,1.0,,,,2,200,ok,,,1349,943,0.0773079623019132,True,0.4,
ml100k,als,quota_mmr,200,200,10,6.046875,4.782381500001065,0.0859375,0.3521803000039654,0.0178571428571428,0.2679248999993433,0.009765625,0.3072214999992866,0.609375,0.6207818999973824,6.1328125,0.0031849888392857,0.0467896068356905,0.9645769039798252,0.1,0.25,0.4343958487768717,0.7650874722016309,0.72,2,0.3,1.0,,,,2,200,ok,,,1349,943,0.0773079623019132,True,0.4,0.1654292378094277
ml100k,multvae,none,200,200,10,3.6875,0.9305940000049304,0.0,0.0,0.078125,0.0852888000008533,0.0520833333333333,0.0737155000024358,0.0,0.0,3.6875,0.0006510416666666,0.0435909448077991,1.0,0.09,1.0055,0.1319495922905856,0.9472690882134914,0.64,2,0.3,1.0,,,,2,200,ok,,,1349,943,0.0773079623019132,True,0.4,
ml100k,multvae,quota_mmr,200,200,10,3.6875,0.913649100002658,0.3125,0.0880381999959354,0.078125,0.0778599999975995,0.0446428571428571,0.0697562999994261,0.890625,0.5653768999982276,4.0,0.0050669642857142,0.0489264170590278,0.963970025955618,0.105,0.2445,0.1467753891771683,0.9472201630837658,0.64,2,0.3,1.0,,,,2,200,ok,,,1349,943,0.0773079623019132,True,0.4,0.3377946381392428
ml100k,gru4rec,none,200,200,10,417.859375,104.71645759999956,0.0,0.0,0.140625,0.1211887000026763,0.0520833333333333,0.0697749999962979,0.0,0.0,417.859375,0.0009635416666666,0.0995147995288019,1.0,0.2,0.8900000000000001,0.3165307635285396,0.8338042994810971,0.74,2,0.3,1.0,,,,2,200,ok,,,1349,943,0.0773079623019132,True,0.4,
ml100k,gru4rec,quota_mmr,200,200,10,439.875,110.43160910000006,0.375,0.101703100001032,0.15625,0.0777438000004622,0.0625,0.0696337999979732,0.96875,0.6439465000003111,440.25,0.0059375,0.0902159671793525,0.9452331157391392,0.175,0.2605,0.3550778354336545,0.8156501111934766,0.74,2,0.3,1.0,,,,2,200,ok,,,1349,943,0.0773079623019132,True,0.4,0.223289427880299
luxury_beauty,popularity,none,200,200,10,0.0001321912013536,0.3006250999969779,0.0,0.0,0.0111607142857142,0.3199344999957247,0.0094696969696969,0.3060643000062555,0.0,0.0,0.0001321912013536,0.000103152056277,0.01,1.0,0.01,1.5,0.0124542124542124,0.9913692307692308,0.275,2,0.3,1.0,,,,2,200,ok,,,1365,3589,0.0048703966229739,True,0.4,
luxury_beauty,popularity,quota_mmr,200,200,10,0.0001262626262626,0.3120481000005384,0.03125,0.3239108999987365,0.011574074074074,0.3068402999997488,0.0091911764705882,0.3140762999973958,0.875,0.8737080999999307,0.0313762626262626,0.0044788262527233,0.01,0.983139085373596,0.01,1.5,0.0124542124542124,0.9914153846153846,0.275,2,0.3,1.0,,,,2,200,ok,,,1365,3589,0.0048703966229739,True,0.4,0.3335112537908509
luxury_beauty,itemknn,none,200,200,10,0.071875,0.3587585999994189,0.0,0.0,0.0135869565217391,0.3139775000017835,0.0107758620689655,0.3136249000017415,0.0,0.0,0.071875,0.0001218140929535,0.221766613704452,1.0,0.27,1.0435,0.3054945054945055,0.8957838827838828,0.435,2,0.3,1.0,,,,2,200,ok,,,1365,3589,0.0048703966229739,True,0.4,
luxury_beauty,itemknn,quota_mmr,200,200,10,0.071875,0.3598600000041188,0.0390625,0.3039711000019451,0.0130208333333333,0.3173685000001569,0.0107758620689655,0.3083189000026323,0.609375,0.6106951000037952,0.1109375,0.0031658584770114,0.219987582604579,0.8857478967593454,0.265,0.298,0.4512820512820513,0.7883648351648351,0.435,2,0.3,1.0,,,,2,200,ok,,,1365,3589,0.0048703966229739,True,0.4,0.0138622356198557
luxury_beauty,als,none,200,200,10,5.671875,5.495576499997696,0.0,0.0,0.0125,0.3123500000001513,0.009765625,0.3069660999972257,0.0,0.0,5.671875,0.000111328125,0.2185393656606766,1.0,0.265,0.768,0.5157509157509158,0.7272065934065934,0.45,2,0.3,1.0,,,,2,200,ok,,,1365,3589,0.0048703966229739,True,0.4,
