user_row,ndcg,ndcg_vs_retrieval,recall,exposure_parity,dataset,family,reranker,repeat,n_candidates,intra_list_similarity
287,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
293,1.0,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
295,0.2890648263178879,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
296,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
299,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
304,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
305,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
306,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
309,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
310,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
311,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
312,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
314,0.3010299956639812,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
316,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
317,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
321,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
332,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
333,0.5,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
336,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
342,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
345,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
346,0.6309297535714575,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
347,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
348,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
349,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
350,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
358,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
359,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
360,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
361,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
364,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
368,0.3154648767857287,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
369,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
370,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
371,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
372,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
373,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
375,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
377,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
383,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
384,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
385,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
386,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
388,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
390,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
392,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
393,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
396,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
397,0.5,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
398,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
400,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
402,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
404,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
405,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
406,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
407,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
409,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
410,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
413,0.5,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
414,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
415,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
419,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
424,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
425,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
426,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
428,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
432,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
435,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
437,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
439,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
441,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
446,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
450,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
451,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
452,0.3154648767857287,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
453,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
455,0.6309297535714575,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
0,0.0,0.6444873619456517,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0109089917431676
1,0.0,0.6611521488857869,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0107546715517796
2,0.0,0.6659970835841367,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0106685179115844
4,0.0,0.664209296336984,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0069733053540083
6,0.0,0.6664523772316427,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
8,0.0,0.6444873619456517,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
9,0.0,0.6586027506220576,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0090700566240458
10,0.0,0.6479838723264458,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0082425382549615
17,0.0,0.6444873619456517,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
19,0.0,0.6415166963718892,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.007435219553137
20,0.0,0.6565788603331788,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
21,0.0,0.6455977025829869,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0081905274233046
23,0.0,0.6444873619456517,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
24,0.0,0.6444873619456517,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
25,0.0,0.6689291698210215,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
28,0.0,0.6444873619456517,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
29,0.0,0.6387724381216997,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.008995541106074
33,0.0,0.6444873619456517,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
34,0.0,0.648714553076983,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
36,0.0,0.6435062592134209,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0112634355978941
37,0.0,0.6722977694952376,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
41,0.0,0.6550997893845949,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
43,0.0,0.6629483357141915,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0081905274233046
46,0.0,0.6533472879883208,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0082425382549615
49,0.0,0.6611521488857869,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0107546715517796
50,0.0,0.661445957573317,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0080988769191182
52,0.0,0.6526647919311055,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
55,0.0,0.6387724381216997,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0095393241795152
57,0.0,0.6512036622603116,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
66,0.0,0.6643557402974676,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0107546715517796
70,0.0,0.6611729150048358,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
75,0.0,0.6548025457182621,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0082425382549615
76,0.0,0.6435062592134209,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0112634355978941
77,0.0,0.6444873619456517,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
78,0.0,0.6556468580385416,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0106685179115844
79,0.0,0.6611521488857869,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0107546715517796
80,0.0,0.6444873619456517,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.01159964477675
86,0.0,0.6352201563505185,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0090700566240458
88,0.0,0.6514540687526046,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
92,0.0,0.6444873619456517,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
97,0.0,0.6582887383118178,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0080240184633414
101,0.0,0.6717433190783308,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0104966282346193
109,0.0,0.6605636951178459,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
110,0.3010299956639812,0.645067276131835,1.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
113,0.0,0.6479247940306114,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0092210232495982
115,0.0,0.6435062592134209,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110879941171245
116,0.6309297535714575,0.6499983489336486,1.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
118,0.0,0.6486474820538185,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0101732151425865
119,0.0,0.6444873619456517,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
120,0.0,0.6444873619456517,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0110844332239372
122,0.0,0.661445957573317,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.0080988769191182
123,0.0,0.6415166963718892,0.0,0.3,gift_cards,popularity,quota_mmr,0,200,0.007435219553137
