dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.n_candidates_requested,note.n_candidates_capped_by
ml100k,itemknn,quota_mmr,200,100,10,0.1953125,0.3831821000003401,0.08984375,0.3574382999995578,0.0260416666666666,0.3195887000001676,0.0082236842105263,0.3009662999993452,0.2265625,0.4587375999999494,0.28515625,0.0013041392543859,0.0616965652239537,0.899361103318962,0.135,0.2445,0.1267605633802817,0.9508628613787992,0.415,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,0.3759849319419464,,
ml100k,itemknn,quota_mmr,200,200,10,0.1953125,0.3818458999994618,0.0859375,0.3536442000004172,0.02734375,0.3156559999988531,0.0100806451612903,0.3184423000002425,0.53125,0.5332158000001073,0.28125,0.0028433719758064,0.0559431443157919,0.8735837388024233,0.115,0.2455,0.1408450704225352,0.9442512972572276,0.665,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,0.3429401468984449,,
ml100k,itemknn,quota_mmr,200,400,10,0.203125,0.3961562000004051,0.08984375,0.3568261000000348,0.0260416666666666,0.3161878000009892,0.0148809523809523,0.31525049999982,1.40625,1.4035954999999376,0.29296875,0.007235863095238,0.0528546051467121,0.7862311642160325,0.105,0.2455,0.1682727946627131,0.9346212008895478,0.815,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,0.2433221699023722,,
ml100k,itemknn,quota_mmr,200,800,10,0.1953125,0.3826097000001027,0.08984375,0.3552902999999787,0.0260416666666666,0.3160998000003019,0.0183823529411764,0.3156880000005913,3.640625,3.638178000001062,0.28515625,0.0184252450980392,0.0511394598647337,0.7441612885201416,0.1,0.25,0.1527057079318013,0.9377272053372868,0.905,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,0.2050867352189032,,
ml100k,als,none,200,50,10,5.625,4.612093399999139,0.0,0.0,0.0130208333333333,0.3073565999984566,0.0071022727272727,0.3113084000015078,0.0,0.0,5.625,0.000100615530303,0.0702686881516989,1.0,0.165,0.8208333333333334,0.4225352112676056,0.776581171237954,0.4,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,als,none,200,100,10,5.609375,4.616037400001005,0.0,0.0,0.0173611111111111,0.2323137999992468,0.0078125,0.3111547999997128,0.0,0.0,5.609375,0.0001258680555555,0.0702686881516989,1.0,0.165,0.8225,0.4225352112676056,0.776581171237954,0.525,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,als,none,200,200,10,5.625,4.635123299998668,0.0,0.0,0.0142045454545454,0.2887112000007619,0.0104166666666666,0.3206650000010995,0.0,0.0,5.625,0.000123106060606,0.0702686881516989,1.0,0.165,0.8225,0.4225352112676056,0.776581171237954,0.66,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,als,none,200,400,10,5.5625,4.629521700000623,0.0,0.0,0.0244140625,0.2090074000007007,0.0142045454545454,0.3097793999986606,0.0,0.0,5.5625,0.0001930930397727,0.0702686881516989,1.0,0.165,0.8225,0.4225352112676056,0.776581171237954,0.84,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,als,none,200,800,10,5.71875,4.630313199999364,0.0,0.0,0.01953125,0.2073242000005848,0.0208333333333333,0.3146589000007225,0.0,0.0,5.71875,0.0002018229166666,0.0702686881516989,1.0,0.165,0.8225,0.4225352112676056,0.776581171237954,0.93,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,als,quota_mmr,200,50,10,5.640625,4.650910599999406,0.08984375,0.3533301000006759,0.01796875,0.2584929999993619,0.0072674418604651,0.3006537000001117,0.1354166666666666,0.408535499998834,5.73046875,0.0008032642926356,0.0513383280034996,0.9588893443825912,0.11,0.2585,0.4677538917716827,0.746531504818384,0.4,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,0.1507470527640945,,
