dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,n_candidates_requested,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.time_bounded_reranker
ml100k,als,quota_mmr,100,100,10,3.515625,3.5137541000003694,0.08984375,0.3623563000001013,0.0069444444444444,0.3077286000007007,0.0043402777777777,0.3069479000005231,0.140625,0.4256018999985826,3.60546875,0.0015190972222222,0.0678406372491365,0.966640900339446,0.14,0.256,0.3365455893254262,0.7967205337286879,0.56,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.1694029996961683,
ml100k,als,balanced_quota,100,100,10,3.484375,3.4966913999996905,0.08984375,0.362760400003026,0.0067934782608695,0.3097778000010294,0.0050403225806451,0.3122910000020056,0.1354166666666666,0.4269923000028939,3.57421875,0.0014725046750818,0.0647116118117087,0.9605456898078804,0.13,0.1999999999999999,0.3306152705707932,0.8005322461082283,0.56,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.1667162437895928,
ml100k,als,qubo_feasible,100,100,10,3.96875,4.249583299999358,0.09765625,0.4028429999998479,0.0091911764705882,0.3516185999978916,0.0045289855072463,0.3100514000034309,32.28125,32.49845949999872,4.06640625,0.3229497016197784,0.0560659419162582,0.8933492121233781,0.08,0.1999999999999999,0.3728687916975537,0.7569948109710897,0.56,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.1039890853361198,
ml100k,als,qubo_tabu,100,100,10,4.8125,4.918955000001006,0.09765625,0.3872436999954516,0.0074404761904761,0.3123868999973638,0.0045955882352941,0.3106193000057828,24.421875,24.533385499998985,4.91015625,0.2443391106442577,0.0602801978281345,0.9172341425225315,0.09,0.1999999999999999,0.363232023721275,0.7630437361008154,0.56,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.101284482001896,True
ml100k,popularity,none,100,100,10,0.0001600102406554,0.301835199999914,0.0,0.0,0.005787037037037,0.3142521000045235,0.0041666666666666,0.3123936000047251,0.0,0.0,0.0001600102406554,9.953703703703704e-05,0.0382669443645209,1.0,0.08,1.204,0.0474425500370644,0.9811919940696812,0.44,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,,
ml100k,popularity,greedy_topk,100,100,10,0.0001550099206349,0.3118270000049961,0.0859375,0.3569427000038558,0.0061274509803921,0.299936900002649,0.0041666666666666,0.3138651999979629,0.0142045454545454,0.3219612999964738,0.0860925099206349,0.000244986631016,0.0382669443645209,1.0,0.08,1.204,0.0474425500370644,0.9811919940696812,0.44,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.4444646437713618,
ml100k,popularity,mmr,100,100,10,0.0001625910509885,0.3087104000005638,0.08984375,0.3671323000016855,0.0058962264150943,0.3094878000047174,0.0042229729729729,0.3093716000003041,0.1796875,0.35867309999594,0.0900063410509885,0.0018980669938806,0.0390798304772479,0.9982967983629316,0.08,1.132,0.0474425500370644,0.981340252038547,0.44,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.4341079134272769,
ml100k,popularity,quota_mmr,100,100,10,0.0001600102406554,0.3081529999981285,0.0859375,0.3597096000012243,0.0063775510204081,0.3000868999952217,0.0043402777777777,0.3103688999981386,0.1041666666666666,0.3317144000029657,0.0860975102406554,0.0011488449546485,0.0536274642093911,0.9135861141141158,0.12,0.237,0.0526315789473684,0.9833002223869532,0.44,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.3595535730712172,
ml100k,popularity,balanced_quota,100,100,10,0.0001637840670859,0.3041419000001042,0.0859375,0.3582038000022294,0.0061274509803921,0.300999099999899,0.0043402777777777,0.3134534999990137,0.1041666666666666,0.3208631000015884,0.0861012840670859,0.0011463439542483,0.0502941308760577,0.9107396008442584,0.11,0.1999999999999999,0.0541141586360266,0.9827664936990363,0.44,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.3572647861888496,
ml100k,popularity,qubo_feasible,100,100,10,0.0001542448173741,0.3111820999984047,0.0859375,0.3580225999976392,0.0065104166666666,0.3043152000027476,0.0047348484848484,0.3070482999974047,30.09375,30.077702099995804,0.0860917448173741,0.3010499526515151,0.0504021165840409,0.8107062489924624,0.1,0.1999999999999999,0.1037805782060785,0.9616100815418828,0.44,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.2859850557447823,
ml100k,popularity,qubo_tabu,100,100,10,0.0001567201604814,0.3099359999978333,0.0859375,0.3580941000036546,0.0060096153846153,0.3031900999994832,0.0042229729729729,0.3082788999963668,24.3125,24.533448700000008,0.0860942201604814,0.2432273258835758,0.0349420682642876,0.8520112614697989,0.07,0.1999999999999999,0.0756115641215715,0.9749280948851,0.44,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.2972167215968847,True
ml100k,itemknn,none,100,100,10,0.1953125,0.3879888999945251,0.0,0.0,0.0148809523809523,0.3071056000044336,0.0041666666666666,0.3133782999939285,0.0,0.0,0.1953125,0.0001904761904761,0.0623552320748689,1.0,0.14,1.105,0.0926612305411415,0.9553313565604152,0.49,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,,
ml100k,itemknn,greedy_topk,100,100,10,0.2109375,0.4117158000008203,0.08984375,0.365824699998484,0.0148809523809523,0.3093981000056374,0.0041666666666666,0.309865199997148,0.015625,0.3097789000021294,0.30078125,0.0003467261904761,0.0623552320748689,1.0,0.14,1.105,0.0926612305411415,0.9553313565604152,0.49,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.4477687486614315,
ml100k,itemknn,mmr,100,100,10,0.1953125,0.3948858000003383,0.08984375,0.3628309000050649,0.0148809523809523,0.3105349000034039,0.0042808219178082,0.3084576999972341,0.1875,0.3799757000015233,0.28515625,0.0020666177429876,0.0616838084669676,0.9970836603613856,0.14,1.059,0.0985915492957746,0.9486790214974056,0.49,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.433903488183629,
ml100k,itemknn,quota_mmr,100,100,10,0.1953125,0.3891962999987299,0.08984375,0.3640383000019938,0.0148809523809523,0.3046192999972845,0.0042808219178082,0.3019830999983242,0.1458333333333333,0.5495072999983677,0.28515625,0.0016499510763209,0.0684577832377159,0.9122189770806772,0.14,0.251,0.0985915492957746,0.9527753891771684,0.49,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.3804942039502718,
ml100k,itemknn,balanced_quota,100,100,10,0.1953125,0.3915623000066262,0.08984375,0.3645525999963865,0.0142045454545454,0.3140236999970511,0.0045955882352941,0.3025092999960179,0.1145833333333333,0.3462320999969961,0.28515625,0.0013338346702317,0.0681937827330375,0.905299862510144,0.14,0.1999999999999999,0.1022979985174203,0.9523024462564864,0.49,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.3757723762460282,
ml100k,itemknn,qubo_feasible,100,100,10,0.1875,0.3867090999992797,0.09375,0.3627639000042109,0.0148809523809523,0.3168640000003506,0.0040584415584415,0.3073982999994769,31.265625,31.71507030000066,0.28125,0.3128456439393939,0.0370178703210207,0.7571270169317812,0.07,0.1999999999999999,0.1527057079318013,0.9260904373610082,0.49,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.2785988195122086,
ml100k,itemknn,qubo_tabu,100,100,10,0.1953125,0.3926879999999073,0.09375,0.3738043999983347,0.015625,0.2995912999977008,0.0042229729729729,0.312519400002202,24.375,24.49475479999819,0.2890625,0.2439484797297297,0.0658369238907539,0.7944220055652126,0.14,0.1999999999999999,0.1415863602668643,0.9355804299481096,0.49,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.2847755006880207,True
ml100k,als,none,100,100,10,3.640625,3.6653980999981286,0.0,0.0,0.0072674418604651,0.3028586000000359,0.0043402777777777,0.3112029999974766,0.0,0.0,3.640625,0.0001160771963824,0.0614407017777783,1.0,0.16,0.8320000000000002,0.3335804299481097,0.8010748702742773,0.56,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,,
ml100k,als,greedy_topk,100,100,10,4.078125,4.240476200000558,0.1354166666666666,0.3993364999987534,0.0135869565217391,0.3061461999968742,0.0069444444444444,0.3155852999989292,0.0546875,0.3495460999984061,4.213541666666667,0.0007521890096618,0.0614407017777783,1.0,0.16,0.8320000000000002,0.3335804299481097,0.8010748702742773,0.56,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.2238691387467309,
ml100k,als,mmr,100,100,10,4.828125,4.921233000000939,0.1041666666666666,0.3189663999946788,0.0091911764705882,0.3075643000047421,0.0046641791044776,0.3069880999973975,0.21875,0.4454907999970601,4.932291666666667,0.0023260535557506,0.057196515112209,0.9942724153537906,0.15,0.797,0.3721275018532246,0.7609488510007413,0.56,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.1843790101231912,
ml100k,als,quota_mmr,100,100,10,4.328125,4.37983090000489,0.09375,0.3744795999955386,0.0071022727272727,0.3151930000021821,0.0044642857142857,0.3115841000035289,0.15625,0.3251149999996414,4.421875,0.0016781655844155,0.0417056921615779,0.9649320145619054,0.1,0.249,0.3232023721275018,0.8088332097850259,0.56,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.1720624709001527,
ml100k,als,balanced_quota,100,100,10,4.140625,4.193246200004069,0.109375,0.3293368999948143,0.0080128205128205,0.3072900999977719,0.0052966101694915,0.306546799998614,0.125,0.3772438000014517,4.25,0.0013830943068231,0.0417056921615779,0.9598645884208304,0.1,0.1999999999999999,0.3106004447739066,0.8173936249073388,0.56,2,0.3,1.0,2,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.1738017553681215,
