user_row,ndcg,ndcg_vs_retrieval,recall,exposure_parity,dataset,family,reranker,repeat,n_candidates,intra_list_similarity
306,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4908261763632746
314,0.0,1.0,0.0,1.1,ml100k,popularity,greedy_topk,0,100,0.4580044404703357
330,0.0,1.0,0.0,1.1,ml100k,popularity,greedy_topk,0,100,0.4410264127048698
341,0.0,1.0,0.0,0.9,ml100k,popularity,greedy_topk,0,100,0.3571089681610812
342,0.5,1.0,1.0,0.6,ml100k,popularity,greedy_topk,0,100,0.3618531858851668
343,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.5438269742339117
352,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.3345842140039288
355,0.0,1.0,0.0,1.1,ml100k,popularity,greedy_topk,0,100,0.4492296623494529
356,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.418559948108642
365,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.5246389787825264
373,0.0,1.0,0.0,0.6,ml100k,popularity,greedy_topk,0,100,0.2959661692835381
387,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.494854693571831
412,1.0,1.0,1.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4734783114547611
424,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4295474042147403
431,0.0,1.0,0.0,1.1,ml100k,popularity,greedy_topk,0,100,0.4147950214118276
432,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.5438269742339117
445,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4817974382824916
467,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4669119597653027
468,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.4993831007601783
469,0.0,1.0,0.0,0.4,ml100k,popularity,greedy_topk,0,100,0.3435366475920399
475,0.0,1.0,0.0,1.1,ml100k,popularity,greedy_topk,0,100,0.4453580739431327
479,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.439491629093617
482,0.0,1.0,0.0,0.8,ml100k,popularity,greedy_topk,0,100,0.3411083554096511
489,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4428446440245034
519,0.0,1.0,0.0,1.1,ml100k,popularity,greedy_topk,0,100,0.4230589161380504
526,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4655407529995957
528,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.4430954055613779
538,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4360837705641265
543,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.5438269742339117
549,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4468159978686837
552,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4733116343171371
554,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.4748939646107228
576,0.0,1.0,0.0,0.9,ml100k,popularity,greedy_topk,0,100,0.3762268426968862
580,0.3868528072345416,1.0,1.0,1.1,ml100k,popularity,greedy_topk,0,100,0.414872203960005
585,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.5079891267889785
587,0.3868528072345416,1.0,1.0,1.3,ml100k,popularity,greedy_topk,0,100,0.497442605306669
596,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4531890207103664
617,0.0,1.0,0.0,0.9,ml100k,popularity,greedy_topk,0,100,0.284953986897963
621,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4341989709594758
623,0.0,1.0,0.0,0.7,ml100k,popularity,greedy_topk,0,100,0.3736855368347875
626,0.0,1.0,0.0,1.1,ml100k,popularity,greedy_topk,0,100,0.4225138939702079
636,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.441151067051816
637,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.5438269742339117
657,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.4478753853344303
659,0.0,1.0,0.0,0.9,ml100k,popularity,greedy_topk,0,100,0.4286188568936476
666,0.0,1.0,0.0,0.8,ml100k,popularity,greedy_topk,0,100,0.3365133088222372
667,0.0,1.0,0.0,1.1,ml100k,popularity,greedy_topk,0,100,0.4412870086304233
669,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4740176736950994
683,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4251587964878257
693,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4574341725787708
705,0.3333333333333333,1.0,1.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4595356703029806
