stage,label,wall_seconds,cpu_seconds,cpu_user_seconds,cpu_system_seconds,cpu_utilisation,peak_rss_bytes,repeats,cpu_seconds_each,meta.catalogue,meta.repeat,meta.meter,dataset,family,reranker,repeat
retrieve_select,itemknn,0.3061248999983945,0.3125,0.1875,0.125,1.0208251599319065,322273280,60,0.0052083333333333,ml100k,0,,ml100k,itemknn,qubo_feasible,0
rerank,itemknn,32.10268349999751,31.90625,31.90625,0.0,0.9938810878536828,322273280,1,31.90625,ml100k,0,,ml100k,itemknn,qubo_feasible,0
train,itemknn,0.4396701000005123,0.4375,0.40625,0.03125,0.9950642538564488,322273280,2,0.21875,ml100k,0,,ml100k,itemknn,qubo_tabu,0
rerank_setup,itemknn,0.3916094999985944,0.390625,0.34375,0.046875,0.997486016047624,322273280,4,0.09765625,ml100k,0,,ml100k,itemknn,qubo_tabu,0
retrieve_score,itemknn,0.3166031000000657,0.3125,0.296875,0.015625,0.9870402406038826,322273280,21,0.0148809523809523,ml100k,0,,ml100k,itemknn,qubo_tabu,0
retrieve_select,itemknn,0.3154785999977321,0.3125,0.25,0.0625,0.9905584721190168,322273280,67,0.0046641791044776,ml100k,0,,ml100k,itemknn,qubo_tabu,0
rerank,itemknn,24.679905099997995,24.359375,24.34375,0.015625,0.987012506786421,322273280,1,24.359375,ml100k,0,,ml100k,itemknn,qubo_tabu,0
train,als,3.4374158999999054,3.4375,3.421875,0.015625,1.000024466053146,322273280,1,3.4375,ml100k,0,,ml100k,als,none,0
retrieve_score,als,0.3034423999997671,0.3125,0.296875,0.015625,1.029849487086313,322273280,45,0.0069444444444444,ml100k,0,,ml100k,als,none,0
retrieve_select,als,0.3096345000012661,0.3125,0.234375,0.078125,1.0092544596894797,322273280,74,0.0042229729729729,ml100k,0,,ml100k,als,none,0
train,als,3.7703067000002193,3.71875,3.6875,0.03125,0.9863255952094784,322273280,1,3.71875,ml100k,0,,ml100k,als,greedy_topk,0
rerank_setup,als,0.3610834999999497,0.359375,0.296875,0.0625,0.9952684074460618,322273280,4,0.08984375,ml100k,0,,ml100k,als,greedy_topk,0
retrieve_score,als,0.3280377999981283,0.3125,0.296875,0.015625,0.9526341171712012,322273280,43,0.0072674418604651,ml100k,0,,ml100k,als,greedy_topk,0
retrieve_select,als,0.3136814999998023,0.3125,0.265625,0.046875,0.996233440608378,322273280,73,0.0042808219178082,ml100k,0,,ml100k,als,greedy_topk,0
rerank,als,0.323055500000919,0.3125,0.25,0.0625,0.967326047688744,322273280,17,0.0183823529411764,ml100k,0,,ml100k,als,greedy_topk,0
