dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,n_candidates_requested,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.n_candidates_requested,note.n_candidates_capped_by,note.n_candidates_kept_fraction
ml100k,itemknn,none,200,50,10,0.203125,0.4010233999979391,0.0,0.0,0.02734375,0.3361838999990141,0.0074404761904761,0.3029478999997081,0.0,0.0,0.203125,0.0001739211309523,0.0371478685516871,1.0,0.065,1.1425,0.0971089696071163,0.9589933283914012,0.245,1,0.3,1.0,1,50,ok,,,1349,943,0.0773079623019132,True,4.2,,,,
ml100k,itemknn,none,200,100,10,0.2109375,0.4122419999985141,0.0,0.0,0.0328125,0.3681686000018089,0.0082236842105263,0.305486799999926,0.0,0.0,0.2109375,0.0002051809210526,0.0371478685516871,1.0,0.065,1.1425,0.0971089696071163,0.9589933283914012,0.355,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,4.2,,,,
ml100k,itemknn,none,200,200,10,0.234375,0.4682551999976567,0.0,0.0,0.0328125,0.3416776999983995,0.0111607142857142,0.3012621000016224,0.0,0.0,0.234375,0.0002198660714285,0.0371478685516871,1.0,0.065,1.1425,0.0971089696071163,0.9589933283914012,0.57,1,0.3,1.0,1,200,ok,,,1349,943,0.0773079623019132,True,4.2,,,,
ml100k,itemknn,none,200,400,10,0.2265625,0.4534160999974119,0.0,0.0,0.0347222222222222,0.3151792999997269,0.015625,0.3158995999983744,0.0,0.0,0.2265625,0.0002517361111111,0.0371478685516871,1.0,0.065,1.1425,0.0971089696071163,0.9589933283914012,0.78,1,0.3,1.0,1,400,ok,,,1349,943,0.0773079623019132,True,4.2,,,,
ml100k,itemknn,none,200,729,10,0.21875,0.4460580999984813,0.0,0.0,0.0347222222222222,0.3123589999995602,0.01953125,0.3141842000004544,0.0,0.0,0.21875,0.0002712673611111,0.0371478685516871,1.0,0.065,1.1425,0.0971089696071163,0.9589933283914012,0.88,1,0.3,1.0,1,800,ok,,,1349,943,0.0773079623019132,True,4.2,,800.0,user history in a small catalogue,0.91125
ml100k,itemknn,quota_mmr,200,50,10,0.2109375,0.424052100002882,0.1145833333333333,0.341931700000714,0.0390625,0.3042682000013883,0.0094696969696969,0.3100006999993638,0.1458333333333333,0.4442630999983521,0.3255208333333333,0.0009718276515151,0.0467939063595766,0.9222273781308796,0.09,0.247,0.0993328391401037,0.9597813194959228,0.245,1,0.3,1.0,1,50,ok,,,1349,943,0.0773079623019132,True,4.2,0.4053258243529747,,,
ml100k,itemknn,quota_mmr,200,100,10,0.234375,0.4661577999977453,0.1015625,0.412637999997969,0.0364583333333333,0.3169251999970583,0.0091911764705882,0.3098801000014646,0.265625,0.5376939999987371,0.3359375,0.0015563725490196,0.0464858748013523,0.9192262231997068,0.09,0.241,0.100815418828762,0.958910303928836,0.355,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,4.2,0.4012897043524375,,,
ml100k,itemknn,quota_mmr,200,200,10,0.203125,0.4090904000004229,0.1197916666666666,0.3496343999977398,0.0513392857142857,0.4062631999986479,0.0125,0.3202242000006663,0.734375,0.7650366999987455,0.3229166666666667,0.0039910714285714,0.0467049935555466,0.9174856400124312,0.09,0.2404999999999999,0.1060044477390659,0.9577931801334322,0.57,1,0.3,1.0,1,200,ok,,,1349,943,0.0773079623019132,True,4.2,0.397124582867766,,,
ml100k,itemknn,quota_mmr,200,400,10,0.21875,0.437683799998922,0.109375,0.3266175999997358,0.0364583333333333,0.3214845000002242,0.0164473684210526,0.3287062999988848,1.671875,1.6981946000014432,0.328125,0.0086239035087719,0.0467771679611553,0.9159123842204931,0.09,0.2405,0.1074870274277242,0.9571008154188289,0.78,1,0.3,1.0,1,400,ok,,,1349,943,0.0773079623019132,True,4.2,0.3928283505217105,,,
ml100k,itemknn,quota_mmr,200,729,10,0.2265625,0.447099299999536,0.109375,0.329780899999605,0.0284090909090909,0.3141204000021389,0.0183823529411764,0.3152738999997382,3.65625,3.692327499997191,0.3359375,0.0185152072192513,0.0451998435772267,0.9153076467613794,0.085,0.24,0.1067457375833951,0.9571022979985174,0.88,1,0.3,1.0,1,800,ok,,,1349,943,0.0773079623019132,True,4.2,0.3912832693881171,800.0,user history in a small catalogue,0.91125
ml100k,als,none,200,50,10,3.65625,3.6505250000009255,0.0,0.0,0.0135869565217391,0.3140611000017088,0.0107758620689655,0.3144969999993918,0.0,0.0,3.65625,0.0001218140929535,0.0473213788017443,1.0,0.105,0.8305000000000001,0.4277242401779095,0.7726167531504818,0.3,1,0.3,1.0,1,50,ok,,,1349,943,0.0773079623019132,True,4.2,,,,
ml100k,als,none,200,100,10,3.84375,3.900579699999071,0.0,0.0,0.0135869565217391,0.3079183000008925,0.0084459459459459,0.3062222999978985,0.0,0.0,3.84375,0.0001101645123384,0.0473213788017443,1.0,0.105,0.8305000000000001,0.4277242401779095,0.7726167531504818,0.475,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,4.2,,,,
ml100k,als,none,200,200,10,3.84375,3.894749300001422,0.0,0.0,0.0164473684210526,0.3164924999982759,0.0130208333333333,0.313495000002149,0.0,0.0,3.84375,0.0001473410087719,0.0473213788017443,1.0,0.105,0.8305000000000001,0.4277242401779095,0.7726167531504818,0.63,1,0.3,1.0,1,200,ok,,,1349,943,0.0773079623019132,True,4.2,,,,
ml100k,als,none,200,400,10,4.015625,4.193735100001504,0.0,0.0,0.0130208333333333,0.3214504999996279,0.0135869565217391,0.3126183999993372,0.0,0.0,4.015625,0.0001330389492753,0.0473213788017443,1.0,0.105,0.8305000000000001,0.4277242401779095,0.7726167531504818,0.825,1,0.3,1.0,1,400,ok,,,1349,943,0.0773079623019132,True,4.2,,,,
ml100k,als,none,200,729,10,3.703125,3.7313255999979447,0.0,0.0,0.0135869565217391,0.3104359999997541,0.0208333333333333,0.3095393999974476,0.0,0.0,3.703125,0.0001721014492753,0.0473213788017443,1.0,0.105,0.8305000000000001,0.4277242401779095,0.7726167531504818,0.925,1,0.3,1.0,1,800,ok,,,1349,943,0.0773079623019132,True,4.2,,800.0,user history in a small catalogue,0.91125
ml100k,als,quota_mmr,200,50,10,3.8125,3.8110142000005,0.09375,0.3835634999995818,0.0148809523809523,0.3076553999999305,0.0074404761904761,0.3105673999998544,0.140625,0.4242233000004489,3.90625,0.0008147321428571,0.0560574771430425,0.97106544597192,0.13,0.2734999999999999,0.4321719792438843,0.7720874722016309,0.3,1,0.3,1.0,1,50,ok,,,1349,943,0.0773079623019132,True,4.2,0.1826897959285543,,,
ml100k,als,quota_mmr,200,100,10,3.703125,3.7191296000019065,0.08984375,0.3582977000005485,0.0135869565217391,0.3046787999992375,0.0084459459459459,0.3104392999994161,0.2890625,0.5935773000019253,3.79296875,0.0015554770123384,0.0471125824901611,0.9676473543370174,0.105,0.259,0.4292068198665678,0.772074128984433,0.475,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,4.2,0.1766763690775855,,,
ml100k,als,quota_mmr,200,200,10,3.546875,3.5445557000020926,0.08984375,0.3598536999998032,0.0142045454545454,0.3073929999991378,0.0100806451612903,0.3168311999979778,0.625,0.6263918000004196,3.63671875,0.0032464259530791,0.0474591996997941,0.9654606064092272,0.105,0.259,0.4373610081541882,0.7641927353595256,0.63,1,0.3,1.0,1,200,ok,,,1349,943,0.0773079623019132,True,4.2,0.1688919033754753,,,
ml100k,als,quota_mmr,200,400,10,3.5,3.4990536000004795,0.109375,0.3224894999984826,0.0135869565217391,0.3159458999980415,0.0142045454545454,0.3113321000018914,1.59375,1.6625005999994755,3.609375,0.0081077075098814,0.0474591996997941,0.9634907099100762,0.105,0.256,0.4447739065974796,0.7590667160859896,0.825,1,0.3,1.0,1,400,ok,,,1349,943,0.0773079623019132,True,4.2,0.1634830721919888,,,
ml100k,als,quota_mmr,200,729,10,3.796875,3.789397499996994,0.08984375,0.3631781999974919,0.0142045454545454,0.3199664000021585,0.021875,0.3266412999983004,3.78125,3.8299119000002975,3.88671875,0.0190866477272727,0.0476805422348714,0.9606528138381336,0.105,0.2549999999999999,0.4507042253521127,0.7549355077835433,0.925,1,0.3,1.0,1,800,ok,,,1349,943,0.0773079623019132,True,4.2,0.1572414696365791,800.0,user history in a small catalogue,0.91125
ml100k,popularity,none,200,50,10,0.0002222617354196,0.3124225999999908,0.0,0.0,0.0120192307692307,0.3190716999997676,0.0076219512195121,0.3127985999999509,0.0,0.0,0.0002222617354196,9.820590994371482e-05,0.065523955616762,1.0,0.105,1.1845,0.0555967383246849,0.9817709414381024,0.26,2,0.3,1.0,2,50,ok,,,1349,943,0.0773079623019132,True,4.2,,,,
