dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.time_bounded_reranker
ml100k,popularity,mmr,100,100,10,0.0001800115207373,0.3114803000062238,0.08984375,0.3700637000001734,0.0066489361702127,0.3079059000010602,0.0044014084507042,0.3057989999942947,0.1875,0.3774125999989337,0.0900237615207373,0.0019855034462091,0.0356160631164485,0.9890246372257868,0.06,0.999,0.0407709414381022,0.9841571534469976,0.33,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,5.6,0.423310160743517,
ml100k,popularity,quota_mmr,100,100,10,0.0001620010368066,0.3065096999998786,0.08984375,0.3657177999994019,0.0060096153846153,0.312415599997621,0.0041666666666666,0.3240752000056091,0.1197916666666666,0.3641659999993862,0.0900057510368066,0.0012996794871794,0.0506780227876668,0.8999391866415132,0.11,0.2679999999999999,0.0400296515937731,0.9848643439584878,0.33,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,5.6,0.3555777209918365,
ml100k,popularity,qubo_feasible,100,100,10,0.0001653439153439,0.3113251999966451,0.08984375,0.3740649999963352,0.0061274509803921,0.2975497000006726,0.0044014084507042,0.3147872000045026,34.078125,34.18326199999865,0.0900090939153439,0.3408865385943109,0.0383825283481881,0.8151030905712345,0.07,0.1999999999999999,0.089696071163825,0.9660578206078576,0.33,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,5.6,0.2983980158077965,
ml100k,popularity,qubo_tabu,100,100,10,0.0001690102758247,0.3011241000058362,0.08984375,0.3730017999987467,0.00625,0.2999764999985927,0.0043402777777777,0.3135290999998688,24.703125,24.72602290000213,0.0900127602758247,0.2471371527777777,0.0530752131895068,0.8536754142681149,0.09,0.1999999999999999,0.0578206078576723,0.979076352853966,0.33,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,5.6,0.3070472951446528,True
ml100k,itemknn,none,100,100,10,0.234375,0.4642960999990464,0.0,0.0,0.0148809523809523,0.3169359000021359,0.0048076923076923,0.3058384999967529,0.0,0.0,0.234375,0.0001968864468864,0.0314308364396487,1.0,0.08,1.138,0.0845070422535211,0.9610096367679762,0.46,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,5.6,,
ml100k,itemknn,greedy_topk,100,100,10,0.21875,0.4423911000048974,0.109375,0.3252743999983067,0.0148809523809523,0.3195797000007587,0.0047348484848484,0.3199536999964039,0.034375,0.3537682999958633,0.328125,0.000539908008658,0.0314308364396487,1.0,0.08,1.138,0.0845070422535211,0.9610096367679762,0.46,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,5.6,0.4551513632192579,
ml100k,itemknn,mmr,100,100,10,0.3125,0.3175668000039877,0.140625,0.4199033999975654,0.01953125,0.3111805000007734,0.0052083333333333,0.3129326999987825,0.234375,0.4661742000025697,0.453125,0.0025911458333333,0.0494742178638996,0.9767754942837652,0.14,1.0020000000000002,0.1126760563380281,0.9430481838398814,0.46,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,5.6,0.4114419590118405,
ml100k,itemknn,quota_mmr,100,100,10,0.21875,0.447358900004474,0.1041666666666666,0.3100822999986121,0.015625,0.3120290000006207,0.0047348484848484,0.305251000005228,0.140625,0.4248993000001064,0.3229166666666667,0.0016098484848484,0.0350398115690817,0.9045706681635874,0.09,0.245,0.1030392883617494,0.9537761304670126,0.46,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,5.6,0.3746943535394461,
ml100k,itemknn,qubo_feasible,100,100,10,0.21875,0.4402417000019341,0.1197916666666666,0.36134999999922,0.015625,0.3012735000011162,0.0050403225806451,0.3125250000011874,33.03125,32.985417099996994,0.3385416666666667,0.3305191532258065,0.0479564359307212,0.777830373338228,0.11,0.1999999999999999,0.1430689399555226,0.9326582653817642,0.46,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,5.6,0.3004139448553274,
ml100k,itemknn,qubo_tabu,100,100,10,0.1953125,0.3945746999961557,0.08984375,0.35748749999766,0.0130208333333333,0.3115314000024227,0.0043402777777777,0.3052333000014187,24.359375,24.55549059999612,0.28515625,0.2437673611111111,0.0499973558724949,0.8119869691293897,0.1,0.1999999999999999,0.1304670126019273,0.939461823573017,0.46,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,5.6,0.3053070975393563,True
ml100k,als,none,100,100,10,5.90625,4.905857699995977,0.0,0.0,0.0066489361702127,0.3152822999982163,0.0041666666666666,0.3111336000001756,0.0,0.0,5.90625,0.0001081560283687,0.0638315481905817,1.0,0.13,0.8470000000000002,0.3224610822831727,0.8064581171237954,0.56,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,5.6,,
ml100k,als,greedy_topk,100,100,10,5.71875,4.884932300003129,0.08984375,0.3635050000011688,0.0086805555555555,0.2343190000028698,0.0042808219178082,0.310136699998111,0.0205078125,0.3282077999974717,5.80859375,0.0003346918997336,0.0638315481905817,1.0,0.13,0.8470000000000002,0.3224610822831727,0.8064581171237954,0.56,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,5.6,0.2270115722909262,
ml100k,als,mmr,100,100,10,5.6875,4.918814200005727,0.09375,0.3659492000006139,0.0086805555555555,0.235507499994128,0.0048828125,0.3104342000005999,0.2421875,0.4949229999983799,5.78125,0.0025575086805555,0.0734907717123172,0.9696136254535832,0.15,0.768,0.3780578206078577,0.7462446256486286,0.56,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,5.6,0.1332215079749837,
ml100k,als,quota_mmr,100,100,10,5.59375,5.212462700001197,0.09765625,0.3924668000036035,0.0072674418604651,0.2847092999945744,0.0042229729729729,0.3153801000007661,0.15625,0.3218952000024728,5.69140625,0.0016774041483343,0.0591161935804822,0.9457515029731132,0.11,0.2569999999999999,0.3595255744996293,0.76648628613788,0.56,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,5.6,0.1288329791958915,
