dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,n_candidates_requested,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.n_candidates_requested,note.n_candidates_capped_by,note.n_candidates_kept_fraction
ml100k,itemknn,none,200,100,10,0.1953125,0.3875494000021717,0.0,0.0,0.0260416666666666,0.3180568000025232,0.0082236842105263,0.3037145999987842,0.0,0.0,0.1953125,0.0001713267543859,0.0471215195017992,1.0,0.1,1.1535000000000002,0.1022979985174203,0.9595700518902892,0.415,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,itemknn,none,200,200,10,0.203125,0.3965098000044236,0.0,0.0,0.0260416666666666,0.316864299995359,0.0107758620689655,0.312548699999752,0.0,0.0,0.203125,0.0001840876436781,0.0471215195017992,1.0,0.1,1.1535000000000002,0.1022979985174203,0.9595700518902892,0.665,0,0.3,1.0,0,200,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,itemknn,none,200,400,10,0.203125,0.3944396000006236,0.0,0.0,0.0260416666666666,0.3196642999973846,0.015625,0.307091999995464,0.0,0.0,0.203125,0.0002083333333333,0.0471215195017992,1.0,0.1,1.1535000000000002,0.1022979985174203,0.9595700518902892,0.815,0,0.3,1.0,0,400,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,itemknn,none,200,800,10,0.1953125,0.3862745000005816,0.0,0.0,0.0260416666666666,0.3180531999969389,0.01953125,0.3042287999996915,0.0,0.0,0.1953125,0.0002278645833333,0.0471215195017992,1.0,0.1,1.1535000000000002,0.1022979985174203,0.9595700518902892,0.905,0,0.3,1.0,0,800,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,itemknn,quota_mmr,200,50,10,0.1953125,0.3854971000037039,0.08984375,0.3636200999972061,0.0260416666666666,0.315156399999978,0.0072674418604651,0.305137499999546,0.109375,0.3307177000024239,0.28515625,0.0007134205426356,0.0615142137243988,0.9192453470132104,0.14,0.2475,0.1015567086730911,0.9592965159377316,0.315,0,0.3,1.0,0,50,ok,,,1349,943,0.0773079623019132,True,2.3,0.4012230163672549,,,
ml100k,itemknn,quota_mmr,200,100,10,0.1953125,0.3859593000015593,0.08984375,0.3608569999996689,0.0260416666666666,0.3175878999973065,0.0078125,0.3120371000040904,0.234375,0.4646821999995154,0.28515625,0.0013411458333333,0.0629470570933468,0.9165410501700888,0.145,0.2465,0.1074870274277242,0.9580726464047442,0.415,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,2.3,0.396423394103337,,,
ml100k,itemknn,quota_mmr,200,200,10,0.1953125,0.3846472000004723,0.09375,0.412132899997232,0.02734375,0.3204079999995883,0.0104166666666666,0.3187730999998166,0.53125,0.5358039999991888,0.2890625,0.0028450520833333,0.0634420618047613,0.914494187972906,0.145,0.2455,0.1104521868050407,0.957130467012602,0.665,0,0.3,1.0,0,200,ok,,,1349,943,0.0773079623019132,True,2.3,0.3921572959825227,,,
ml100k,itemknn,quota_mmr,200,400,10,0.203125,0.4006892000033986,0.09375,0.3929803999999421,0.0260416666666666,0.3211433000033139,0.015625,0.3076885000045877,1.390625,1.3925793999951566,0.296875,0.0071614583333333,0.0619369118264414,0.9127127103581444,0.14,0.245,0.1126760563380281,0.956432171979244,0.815,0,0.3,1.0,0,400,ok,,,1349,943,0.0773079623019132,True,2.3,0.3876646208953359,,,
ml100k,itemknn,quota_mmr,200,800,10,0.1953125,0.391336600005161,0.09375,0.3658878000060213,0.0260416666666666,0.3140601999984937,0.0193014705882352,0.3218262000009417,3.625,3.633177700001397,0.2890625,0.0183517156862745,0.0619369118264414,0.9119580405525344,0.14,0.2445,0.1126760563380281,0.9563884358784284,0.905,0,0.3,1.0,0,800,ok,,,1349,943,0.0773079623019132,True,2.3,0.3855659732596743,,,
ml100k,als,none,200,50,10,5.859375,4.75100950000342,0.0,0.0,0.0173611111111111,0.2309849999946891,0.0074404761904761,0.3066432999985409,0.0,0.0,5.859375,0.0001240079365079,0.0702686881516989,1.0,0.165,0.8225,0.4225352112676056,0.776581171237954,0.4,0,0.3,1.0,0,50,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,als,none,200,100,10,5.515625,4.756771599997592,0.0,0.0,0.01953125,0.2060630999985733,0.0082236842105263,0.310809499998868,0.0,0.0,5.515625,0.0001387746710526,0.0702686881516989,1.0,0.165,0.8225,0.4225352112676056,0.776581171237954,0.525,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,als,none,200,200,10,6.015625,4.747557100003178,0.0,0.0,0.0208333333333333,0.1919264000025577,0.0107758620689655,0.321236099996895,0.0,0.0,6.015625,0.0001580459770114,0.0702686881516989,1.0,0.165,0.8225,0.4225352112676056,0.776581171237954,0.66,0,0.3,1.0,0,200,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,als,none,200,400,10,5.671875,4.749263300000166,0.0,0.0,0.0299479166666666,0.1532243999972706,0.0148809523809523,0.3128735999998753,0.0,0.0,5.671875,0.000224144345238,0.0702686881516989,1.0,0.165,0.8225,0.4225352112676056,0.776581171237954,0.84,0,0.3,1.0,0,400,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,als,none,200,800,10,5.921875,4.799587900000915,0.0,0.0,0.0142045454545454,0.2817253999965032,0.0223214285714285,0.3083603000050061,0.0,0.0,5.921875,0.0001826298701298,0.0702686881516989,1.0,0.165,0.8225,0.4225352112676056,0.776581171237954,0.93,0,0.3,1.0,0,800,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
