dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,note.n_candidates_requested,note.n_candidates_capped_by,note.n_candidates_kept_fraction,repeat,n_candidates_requested,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity
ml100k,multvae,none,200,200,10,1.171875,1.171250699999291,0.0,0.0,0.0173611111111111,0.3234431000000768,0.0104166666666666,0.3032286999987263,0.0,0.0,1.171875,0.0001388888888888,0.0435909448077991,1.0,0.09,1.0055,0.1319495922905856,0.9472690882134914,0.64,2,0.3,1.0,,,,2,200,ok,,,1349,943,0.0773079623019132,True,1.9,
ml100k,multvae,quota_mmr,200,200,10,1.15625,1.1804649000005156,0.08984375,0.3673868999994738,0.0173611111111111,0.3299188000000868,0.009765625,0.3105992000000697,0.546875,0.5695247000003292,1.24609375,0.0028700086805555,0.0489264170590278,0.963970030151438,0.105,0.2445,0.1467753891771683,0.9472201630837658,0.64,2,0.3,1.0,,,,2,200,ok,,,1349,943,0.0773079623019132,True,1.9,0.3377946381392428
ml100k,gru4rec,none,200,200,10,79.453125,79.60080830000152,0.0,0.0,0.03125,0.321374499999365,0.0100806451612903,0.3036701000000903,0.0,0.0,79.453125,0.0002066532258064,0.0995147995288019,1.0,0.2,0.8900000000000001,0.3165307635285396,0.8338042994810971,0.74,2,0.3,1.0,,,,2,200,ok,,,1349,943,0.0773079623019132,True,1.9,
ml100k,gru4rec,quota_mmr,200,200,10,78.8125,78.9837048999998,0.08984375,0.3608027000009315,0.03125,0.3222865999996429,0.0100806451612903,0.3007338999996136,0.578125,0.5778456000007282,78.90234375,0.0030972782258064,0.0902159671793525,0.945233116902558,0.175,0.2605,0.3550778354336545,0.8156501111934766,0.74,2,0.3,1.0,,,,2,200,ok,,,1349,943,0.0773079623019132,True,1.9,0.223289427880299
luxury_beauty,popularity,none,200,200,10,0.0001271358828315,0.3009719999990921,0.0,0.0,0.0104166666666666,0.3198385999985476,0.0089285714285714,0.3124853999997867,0.0,0.0,0.0001271358828315,9.672619047619048e-05,0.01,1.0,0.01,1.5,0.0124542124542124,0.9913692307692308,0.275,2,0.3,1.0,,,,2,200,ok,,,1365,3589,0.0048703966229739,True,1.9,
luxury_beauty,popularity,quota_mmr,200,200,10,0.0001268262987012,0.3094192000007751,0.03125,0.3264548999995895,0.0111607142857142,0.3016477000001032,0.0084459459459459,0.3278427999994164,0.8125,0.820749500000602,0.0313768262987012,0.0041605333011583,0.01,0.983139085373596,0.01,1.5,0.0124542124542124,0.9914153846153846,0.275,2,0.3,1.0,,,,2,200,ok,,,1365,3589,0.0048703966229739,True,1.9,0.3335112537908509
luxury_beauty,itemknn,none,200,200,10,0.06875,0.352864700000282,0.0,0.0,0.0125,0.3109230999998544,0.0107758620689655,0.3100589000005129,0.0,0.0,0.06875,0.0001163793103448,0.221766613704452,1.0,0.27,1.0435,0.3054945054945055,0.8957838827838828,0.435,2,0.3,1.0,,,,2,200,ok,,,1365,3589,0.0048703966229739,True,1.9,
luxury_beauty,itemknn,quota_mmr,200,200,10,0.071875,0.3468089999987569,0.03125,0.3237010000011651,0.0130208333333333,0.3045872999991843,0.0107758620689655,0.3062300000001414,0.578125,0.6046870999998646,0.103125,0.0030096084770114,0.219987582604579,0.8857478967593454,0.265,0.298,0.4512820512820513,0.7883648351648351,0.435,2,0.3,1.0,,,,2,200,ok,,,1365,3589,0.0048703966229739,True,1.9,0.0138622356198557
luxury_beauty,als,none,200,200,10,5.15625,5.15888669999913,0.0,0.0,0.0120192307692307,0.3190217999999731,0.0094696969696969,0.3198075000000244,0.0,0.0,5.15625,0.0001074446386946,0.2185393656606766,1.0,0.265,0.768,0.5157509157509158,0.7272065934065934,0.45,2,0.3,1.0,,,,2,200,ok,,,1365,3589,0.0048703966229739,True,1.9,
luxury_beauty,als,quota_mmr,200,200,10,5.15625,5.156197700000121,0.03125,0.3194075999999768,0.0125,0.3054776000008132,0.0094696969696969,0.3123051000002306,0.65625,0.6522668999987218,5.1875,0.0033910984848484,0.219550954080778,0.9617123551934742,0.265,0.2784999999999999,0.5787545787545788,0.6768293040293041,0.45,2,0.3,1.0,,,,2,200,ok,,,1365,3589,0.0048703966229739,True,1.9,0.0066760802553222
digital_music,popularity,none,200,200,10,0.0003153380423814,0.3064085000005434,0.0,0.0,0.0142045454545454,0.3238770999996632,0.0520833333333333,0.3141735999997763,0.0,0.0,0.0003153380423814,0.0003314393939393,0.0017810359355401,1.0,0.005,1.5,0.001242456514022,0.9990982428115016,0.08,2,0.3,1.0,,,,2,200,ok,,,11268,16252,0.0006986333284143,True,1.9,
