user_row,ndcg,ndcg_vs_retrieval,recall,exposure_parity,dataset,family,reranker,repeat,intra_list_similarity
139,0.0,0.636674710671033,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0101685462587816
141,0.0,0.6136667124265398,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.005437286994969
142,0.0,0.6065555868600435,0.0,0.2,gift_cards,popularity,quota_mmr,0,0.0057393721812972
143,0.0,0.6372445925222865,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0101685462587816
148,0.0,0.6187316133010453,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0045713131380855
152,0.0,0.6308675664435425,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0062579481482733
153,0.0,0.6335788220910248,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0093556518761871
156,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
158,0.0,0.6353678553882007,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0079884107783537
159,0.0,0.6415706624843912,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0070879965347213
160,1.0,0.6321816227529956,1.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
161,0.0,0.6487674407262989,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
163,0.0,0.6640713222639426,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
164,0.0,0.635737204169631,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
166,0.0,0.635737204169631,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
170,0.0,0.6435205403851164,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0101685462587816
171,0.0,0.6321816227529956,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
172,0.0,0.635737204169631,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
173,0.0,0.6342810688373154,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009422456173563
174,0.0,0.6281048207899155,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.007484808875801
176,0.0,0.642400518761687,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0080659051944438
177,0.0,0.6348961931134919,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.007474892677562
178,0.0,0.6485135750726913,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0067117884252084
186,0.0,0.6199244299337161,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.007474892677562
187,0.0,0.6231119111167037,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0078039381550976
188,1.0,0.6048533905566967,1.0,0.3,gift_cards,popularity,quota_mmr,0,0.005437286994969
191,0.0,0.642400518761687,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0080659051944438
193,0.0,0.6293817183785524,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0065196500725151
196,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
198,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
202,0.3333333333333333,0.6316162686680329,1.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
203,0.0,0.6533220097702663,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
205,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
208,0.0,0.6700276265231074,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
210,0.0,0.6231119111167037,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0078039381550976
214,0.0,0.6297089955535929,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0091976887248272
215,0.3562071871080222,0.6316162686680329,1.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
216,0.0,0.6396761406523598,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009422456173563
217,0.0,0.5948456285255902,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.005437286994969
218,0.5,0.6425151227644277,1.0,0.3,gift_cards,popularity,quota_mmr,0,0.007474892677562
219,0.0,0.638192163730414,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0096126807931311
222,0.0,0.62982768746094,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0087652730112824
223,0.0,0.6315640086161157,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0068245305896662
224,0.0,0.6384077076045485,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
226,0.0,0.6389852905250188,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
233,0.5,0.6465930735923284,1.0,0.3,gift_cards,popularity,quota_mmr,0,0.0065305056250979
234,0.0,0.6231119111167037,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0078039381550976
237,0.0,0.6516271568715484,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.007333759023271
238,0.0,0.6384077076045485,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
241,0.0,0.60499776376799,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0047173974023166
242,0.3562071871080222,0.6243600093044787,1.0,0.3,gift_cards,popularity,quota_mmr,0,0.0081123141957169
244,0.0,0.6134394621088343,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0063559843331637
245,0.0,0.6231119111167037,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0078039381550976
249,0.0,0.6384077076045485,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
250,0.0,0.6538687131424091,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009422456173563
251,0.0,0.6354082348140857,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0064666134561417
254,0.0,0.6481720463842003,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
258,0.0,0.6487674407262989,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
260,0.0,0.635417564752288,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009422456173563
262,0.0,0.6549203072679483,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0096126807931311
263,0.0,0.6285399663703124,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0083298708806211
266,0.5,0.6497873199107944,1.0,0.3,gift_cards,popularity,quota_mmr,0,0.0067117884252084
274,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
280,0.0,0.6342810688373154,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009422456173563
281,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
285,0.0,0.6369886742094135,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
287,0.0,0.6321816227529956,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
293,1.0,0.6297089955535929,1.0,0.3,gift_cards,popularity,quota_mmr,0,0.0091976887248272
