dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,note.n_candidates_requested,note.n_candidates_capped_by,repeat,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity
ml100k,als,none,200,200,10,5.875,4.724536499999886,0.0,0.0,0.01953125,0.206710400000702,0.0100806451612903,0.3068361999994522,0.0,0.0,5.875,0.0001480594758064,0.0702686881516989,1.0,0.165,0.8225,0.4225352112676056,0.776581171237954,0.66,0,0.3,1.0,,,0,ok,,,1349,943,0.0773079623019132,True,0.8,
ml100k,als,quota_mmr,200,200,10,5.96875,4.97548260000076,0.0859375,0.3547295999997004,0.0125,0.3204623000001447,0.0100806451612903,0.3071570000001884,0.65625,0.6602916000001642,6.0546875,0.0033941532258064,0.0470996768572103,0.9387455491481111,0.095,0.2619999999999999,0.507783543365456,0.7108080059303188,0.66,0,0.3,1.0,,,0,ok,,,1349,943,0.0773079623019132,True,0.8,0.1183265571702111
gift_cards,popularity,none,200,120,10,8.731489242805253e-05,0.2991012000002229,0.0,0.0,0.0104166666666666,0.3197829000000638,0.0022644927536231,0.3013319000001502,0.0,0.0,8.731489242805253e-05,6.340579710144927e-05,0.062567318844249,1.0,0.125,1.5,0.1224489795918367,0.9206462585034012,0.88,1,0.3,1.0,200.0,user history in a small catalogue,1,ok,,,147,456,0.037265783506385,True,0.8,
gift_cards,popularity,quota_mmr,200,120,10,8.351149118118654e-05,0.3106952999996792,0.0004968203497615,0.3104676000002655,0.011574074074074,0.3098695999997289,0.0022644927536231,0.3098076999995101,0.328125,0.3313473000007434,0.0005803318409427,0.0017098178341384,0.0445852820964069,0.6348866101460693,0.08,0.2994999999999999,0.3877551020408163,0.8930136054421769,0.88,1,0.3,1.0,200.0,user history in a small catalogue,1,ok,,,147,456,0.037265783506385,True,0.8,0.0082999015366718
gift_cards,itemknn,none,200,120,10,0.0019654088050314,0.3050348000006124,0.0,0.0,0.0107758620689655,0.3184517999998206,0.00244140625,0.3000185999999303,0.0,0.0,0.0019654088050314,6.60863415948276e-05,0.1622287261512268,1.0,0.355,1.389,0.4829931972789115,0.8228979591836735,0.95,1,0.3,1.0,200.0,user history in a small catalogue,1,ok,,,147,456,0.037265783506385,True,0.8,
gift_cards,itemknn,quota_mmr,200,120,10,0.0019654088050314,0.3024296000003232,0.0005073051948051,0.3087332000004608,0.0107758620689655,0.3158370000001014,0.0023854961832061,0.30417369999941,0.359375,0.3623599000002286,0.0024727139998366,0.0018626817912608,0.1123241503367844,0.7129131282517046,0.205,0.2669999999999999,0.979591836734694,0.3789047619047619,0.95,1,0.3,1.0,200.0,user history in a small catalogue,1,ok,,,147,456,0.037265783506385,True,0.8,0.0106884993502735
gift_cards,als,none,200,120,10,0.625,0.6294186999994054,0.0,0.0,0.0111607142857142,0.3096358999991935,0.002422480620155,0.3046642999997857,0.0,0.0,0.625,6.791597452934661e-05,0.0592535889351285,1.0,0.135,0.4955,0.9727891156462584,0.2395646258503401,0.86,1,0.3,1.0,200.0,user history in a small catalogue,1,ok,,,147,456,0.037265783506385,True,0.8,
gift_cards,als,quota_mmr,200,120,10,0.65625,0.6346292999996876,0.0005032206119162,0.3080288000001019,0.0111607142857142,0.3101640000004408,0.002422480620155,0.3076916999998502,0.390625,0.3984057999996366,0.6567532206119162,0.0020210409745293,0.0545606280994651,0.976493176764339,0.12,0.2609999999999999,0.979591836734694,0.2583401360544217,0.86,1,0.3,1.0,200.0,user history in a small catalogue,1,ok,,,147,456,0.037265783506385,True,0.8,0.0027553633706264
ml100k,popularity,none,200,200,10,0.0001536381514257,0.3084518999994543,0.0,0.0,0.011574074074074,0.3160308000005898,0.0100806451612903,0.3092790999999124,0.0,0.0,0.0001536381514257,0.0001082735961768,0.0425863760254837,1.0,0.1,1.1855000000000002,0.0496664195700518,0.9822001482579688,0.45,1,0.3,1.0,,,1,ok,,,1349,943,0.0773079623019132,True,0.8,
ml100k,popularity,quota_mmr,200,200,10,0.0001597648261758,0.3018607000003612,0.0859375,0.3527268999996522,0.011574074074074,0.3158333000001221,0.009765625,0.3120484999999462,0.515625,0.5133367999997063,0.0860972648261758,0.0026848234953703,0.0344687751150091,0.8896607804713196,0.075,0.254,0.0770941438102298,0.980452928094885,0.45,1,0.3,1.0,,,1,ok,,,1349,943,0.0773079623019132,True,0.8,0.3350398337427952
