dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,n_candidates_requested,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.time_bounded_reranker
ml100k,itemknn,quota_mmr,100,100,10,0.1953125,0.3904844999997294,0.08984375,0.3641704999972717,0.0148809523809523,0.3203531999970437,0.0041666666666666,0.3015368999986094,0.1145833333333333,0.3554911000028369,0.28515625,0.0013363095238095,0.0535001304640337,0.9124438129886598,0.1,0.25,0.0956263899184581,0.9586819866567828,0.41,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.3973609027396275,
ml100k,itemknn,balanced_quota,100,100,10,0.203125,0.4048264000011841,0.08984375,0.366609899996547,0.0148809523809523,0.3059343000059016,0.0043174342105263,0.3097523000033106,0.1041666666666666,0.3252544999995734,0.29296875,0.0012336505325814,0.0535001304640337,0.9049393105947172,0.1,0.1999999999999999,0.0971089696071163,0.9576916234247592,0.41,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.3932333203236722,
ml100k,itemknn,qubo_feasible,100,100,10,0.1953125,0.3966060000020661,0.09375,0.3646697999938624,0.0149147727272727,0.3279039999979432,0.0049603174603174,0.3128624000019044,30.5625,30.601098300001468,0.2890625,0.3058237509018759,0.0514608647706439,0.7688051655929421,0.09,0.1999999999999999,0.1549295774647887,0.9272616753150482,0.41,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.3005035368004611,
ml100k,itemknn,qubo_tabu,100,100,10,0.1953125,0.3890422999975271,0.0859375,0.3572260000000824,0.0142045454545454,0.3126457000034861,0.0042229729729729,0.2991615999999339,24.234375,24.27795029999833,0.28125,0.2425280251842752,0.0605866815103689,0.8022668861661628,0.12,0.1999999999999999,0.1356560415122313,0.9363217197924388,0.41,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.3050784828255725,True
ml100k,als,none,100,100,10,6.15625,4.792570599995088,0.0,0.0,0.0107758620689655,0.1932568999982322,0.0044014084507042,0.3072210999962408,0.0,0.0,6.15625,0.0001517727051966,0.0737983358012655,1.0,0.14,0.8440000000000001,0.3232023721275018,0.8087472201630838,0.51,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,,
ml100k,als,greedy_topk,100,100,10,5.59375,4.790071999996144,0.08984375,0.3604638000033446,0.015625,0.1411984999940614,0.0041666666666666,0.3103408999959356,0.01953125,0.3086270000057993,5.68359375,0.0003932291666666,0.0737983358012655,1.0,0.14,0.8440000000000001,0.3232023721275018,0.8087472201630838,0.51,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.2361233135921113,
ml100k,als,mmr,100,100,10,5.859375,4.776933900000586,0.09375,0.3700826999993296,0.0084459459459459,0.2657356999989133,0.0041118421052631,0.3126413999998476,0.1875,0.3815781999946921,5.953125,0.002000577880512,0.0683048106846698,0.9944861523622636,0.12,0.7939999999999998,0.3535952557449963,0.7768969607116383,0.51,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.1933541914622834,
ml100k,als,quota_mmr,100,100,10,6.0625,4.89202479999949,0.08984375,0.361460200001602,0.0094476744186046,0.2917143999948166,0.0046641791044776,0.3097194000001764,0.140625,0.4250391999958083,6.15234375,0.0015473685352308,0.06186688255575,0.9647908882486376,0.1,0.253,0.329873980726464,0.8030303928836175,0.51,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.1765996160743125,
ml100k,als,balanced_quota,100,100,10,5.546875,4.893827299994882,0.09375,0.3706294000003254,0.0100806451612903,0.2155240999927627,0.0044014084507042,0.3111191000061808,0.109375,0.3315989999973681,5.640625,0.0012385705361199,0.0589177230872002,0.9598649186667044,0.09,0.1999999999999999,0.3172720533728688,0.8115997034840623,0.51,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.1790499825207433,
ml100k,als,qubo_feasible,100,100,10,5.828125,4.772931100000278,0.09375,0.3637741999991704,0.0066489361702127,0.3105471000017132,0.0040584415584415,0.3153947000027983,30.109375,30.14324359999592,5.921875,0.3012008237772865,0.051925360652163,0.8897635137726969,0.07,0.1999999999999999,0.3706449221645663,0.7566849518161601,0.51,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.1065040824676737,
ml100k,als,qubo_tabu,100,100,10,6.0,4.835682500000985,0.08984375,0.3609629999991739,0.0163352272727272,0.1440063000045484,0.0042229729729729,0.3084137000041664,24.1875,24.216144100006204,6.08984375,0.242080582002457,0.0663893069557349,0.9136845169265888,0.1,0.1999999999999999,0.3706449221645663,0.7597346182357302,0.51,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.1045639934284843,True
ml100k,popularity,none,100,100,10,0.000152513421181,0.3269528000018908,0.0,0.0,0.005787037037037,0.3164387000069837,0.0042808219178082,0.3110156999973696,0.0,0.0,0.000152513421181,0.0001006785895484,0.0398160089153419,1.0,0.07,1.2,0.0348406226834692,0.98436471460341,0.33,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.0,,
ml100k,popularity,greedy_topk,100,100,10,0.0001721763085399,0.3088747999936458,0.09765625,0.3937884999977541,0.0061274509803921,0.3143331000028411,0.0044014084507042,0.3088487999993958,0.0148809523809523,0.3109039999981178,0.0978284263085399,0.0002540981181204,0.0398160089153419,1.0,0.07,1.2,0.0348406226834692,0.98436471460341,0.33,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.4540700832720007,
ml100k,popularity,mmr,100,100,10,0.0001634414225941,0.3100063000019872,0.08984375,0.3643305000005057,0.0058962264150943,0.3086570000014035,0.0042229729729729,0.31282989999454,0.1875,0.3755578999989666,0.0900071914225941,0.0019761919938806,0.0386263630730883,0.9981843166912132,0.07,1.118,0.0340993328391401,0.984702742772424,0.33,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.4432902291679753,
ml100k,popularity,quota_mmr,100,100,10,0.0001689189189189,0.3080443000071682,0.09375,0.3755157999985385,0.0061274509803921,0.3127170000007027,0.0041666666666666,0.3121908000030089,0.109375,0.3362353000047733,0.0939189189189189,0.0011966911764705,0.052379951421265,0.9111698179926916,0.11,0.24,0.0311341734618235,0.9867842846553002,0.33,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.3689535210450514,
ml100k,popularity,balanced_quota,100,100,10,0.0001621691748832,0.3037099000066519,0.0859375,0.3686333000005106,0.0060096153846153,0.3078835000051185,0.0044642857142857,0.3120094999976572,0.1015625,0.4155080999989877,0.0860996691748832,0.001120364010989,0.0539779465794145,0.9071402624906746,0.11,0.1999999999999999,0.0378057820607857,0.9859154929577464,0.33,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.3653553200451085,
ml100k,popularity,qubo_feasible,100,100,10,0.0001707650273224,0.310095500004536,0.08984375,0.3724185999963083,0.0058962264150943,0.3046631000033812,0.0042808219178082,0.3082576000015251,30.21875,30.19799249999778,0.0900145150273224,0.302289270483329,0.0324899644782239,0.8111539982285434,0.05,0.1999999999999999,0.089696071163825,0.9665218680504076,0.33,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.2955611794633581,
ml100k,popularity,qubo_tabu,100,100,10,0.0001650818806127,0.2978800999990199,0.08984375,0.3648958999983733,0.0060096153846153,0.307706399995368,0.0045955882352941,0.311946200003149,24.328125,24.36036869999953,0.0900088318806127,0.2433873020361991,0.0534826362927298,0.8543250580326271,0.09,0.1999999999999999,0.0607857672349888,0.978403261675315,0.33,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.3076368332431431,True
ml100k,itemknn,none,100,100,10,0.203125,0.4127945000000181,0.0,0.0,0.0130208333333333,0.3105375000013737,0.0042229729729729,0.3009816000048886,0.0,0.0,0.203125,0.000172438063063,0.0314308364396487,1.0,0.08,1.138,0.0845070422535211,0.9610096367679762,0.46,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.0,,
ml100k,itemknn,greedy_topk,100,100,10,0.1953125,0.3890838999941479,0.1015625,0.4007345999998506,0.0164473684210526,0.3118012999984785,0.0044642857142857,0.3120772000038414,0.0148809523809523,0.3242328999986057,0.296875,0.0003579260651629,0.0314308364396487,1.0,0.08,1.138,0.0845070422535211,0.9610096367679762,0.46,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.4551513632192579,
ml100k,itemknn,mmr,100,100,10,0.1953125,0.3880551000038394,0.08984375,0.3640248000010615,0.0135869565217391,0.313941699998395,0.0041118421052631,0.308043600001838,0.1796875,0.3692009000005782,0.28515625,0.00197386298627,0.043939418454119,0.9963287520128452,0.12,1.066,0.0971089696071163,0.9532305411415865,0.46,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.4387874581845919,
ml100k,itemknn,quota_mmr,100,100,10,0.1953125,0.3867287000030046,0.08984375,0.3591629000002285,0.0130208333333333,0.3180950000023586,0.0041118421052631,0.3053445000041392,0.109375,0.3402394000004278,0.28515625,0.0012650767543859,0.0343465771498156,0.9200041908350084,0.09,0.249,0.0911786508524833,0.9594292068198664,0.46,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.3939280197144214,
ml100k,itemknn,balanced_quota,100,100,10,0.1953125,0.3881920000058017,0.08984375,0.3607573000044795,0.0130208333333333,0.3105916999993496,0.0043402777777777,0.3092630000028293,0.1041666666666666,0.319269699997676,0.28515625,0.0012152777777777,0.0315755805800977,0.913132958077176,0.08,0.1999999999999999,0.0919199406968124,0.958893995552261,0.46,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.3905376220076736,
