dataset,family,reranker,repeat,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,note.n_candidates_requested,note.n_candidates_capped_by,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity
software,itemknn,quota_mmr,2,200,200,10,0.0260416666666666,0.3230861000001823,0.0111607142857142,0.3160555000004024,0.0142045454545454,0.3052527999998347,0.0080128205128205,0.3165023000001383,0.78125,0.7759901999997965,0.0372023809523809,0.0040173368298368,0.0535731939675985,0.8873213375186302,0.105,0.2695,0.7895460797799174,0.5598665749656121,0.535,2,0.3,1.0,,,ok,,,727,1779,0.0077884040691763,True,13.3,0.0055038000554676
software,als,none,2,200,200,10,3.265625,3.1884197999997923,0.0,0.0,0.0183823529411764,0.2407901000005949,0.0078125,0.3127010999996855,0.0,0.0,3.265625,0.0001309742647058,0.0867666693330428,1.0,0.165,0.6459999999999999,0.8088033012379643,0.5223163686382394,0.45,2,0.3,1.0,,,ok,,,727,1779,0.0077884040691763,True,13.3,
software,als,quota_mmr,2,200,200,10,3.21875,3.0819674999993367,0.0104166666666666,0.3188682999998491,0.0208333333333333,0.2399925999998231,0.0082236842105263,0.3008740999994188,0.828125,0.829689999999573,3.2291666666666665,0.0042859100877192,0.0762089810107514,0.9577803303847304,0.13,0.2525,0.8720770288858322,0.4499697386519945,0.45,2,0.3,1.0,,,ok,,,727,1779,0.0077884040691763,True,13.3,0.0036615324317887
ml100k,popularity,none,2,200,200,10,0.0001977848101265,0.302468000000772,0.0,0.0,0.0135869565217391,0.3124016000001575,0.0107758620689655,0.3181706000004851,0.0,0.0,0.0001977848101265,0.0001218140929535,0.065523955616762,1.0,0.105,1.1845,0.0555967383246849,0.9817709414381024,0.515,2,0.3,1.0,,,ok,,,1349,943,0.0773079623019132,True,13.3,
ml100k,popularity,quota_mmr,2,200,200,10,0.000193858560794,0.3113693000004787,0.09765625,0.40535219999947,0.0135869565217391,0.3067500000006475,0.011574074074074,0.3132000000005064,0.625,0.6151105999997526,0.097850108560794,0.003250805152979,0.0714985578370081,0.8890422102772081,0.12,0.2575,0.0763528539659006,0.979939214232765,0.515,2,0.3,1.0,,,ok,,,1349,943,0.0773079623019132,True,13.3,0.3314277116596587
ml100k,itemknn,none,2,200,200,10,0.21875,0.4444956999996066,0.0,0.0,0.0364583333333333,0.3237404000001334,0.0125,0.3167400999991514,0.0,0.0,0.21875,0.0002447916666666,0.044833651844888,1.0,0.1,1.1585,0.0941438102297998,0.9594002965159376,0.675,2,0.3,1.0,,,ok,,,1349,943,0.0773079623019132,True,13.3,
ml100k,itemknn,quota_mmr,2,200,200,10,0.234375,0.4805399999995643,0.1197916666666666,0.3569982999997592,0.0328125,0.3299917000003916,0.0125,0.3098846000002595,0.65625,0.6554738000004363,0.3541666666666667,0.0035078125,0.0518486520547339,0.8670877791790933,0.11,0.2475,0.1475166790214974,0.9421986656782804,0.675,2,0.3,1.0,,,ok,,,1349,943,0.0773079623019132,True,13.3,0.3420048510533016
ml100k,als,none,2,200,200,10,6.734375,5.664384299999256,0.0,0.0,0.015625,0.3031455000000278,0.011574074074074,0.3131064999997761,0.0,0.0,6.734375,0.0001359953703703,0.0525673064972207,1.0,0.115,0.8280000000000001,0.4114158636026686,0.7842920681986657,0.72,2,0.3,1.0,,,ok,,,1349,943,0.0773079623019132,True,13.3,
ml100k,als,quota_mmr,2,200,200,10,6.71875,5.548270499999489,0.1041666666666666,0.3073083999997834,0.0148809523809523,0.3117475999997623,0.011574074074074,0.3125585999996474,0.703125,0.715374399999746,6.822916666666667,0.0036479001322751,0.0460658021723795,0.937777883922542,0.095,0.249,0.502594514455152,0.7128843587842847,0.72,2,0.3,1.0,,,ok,,,1349,943,0.0773079623019132,True,13.3,0.1200875593600183
ml100k,multvae,none,2,200,200,10,5.484375,1.372815400000036,0.0,0.0,0.09375,0.0913188000004083,0.0625,0.0910406000002694,0.0,0.0,5.484375,0.00078125,0.0435909448077991,1.0,0.09,1.0055,0.1319495922905856,0.9472690882134914,0.64,2,0.3,1.0,,,ok,,,1349,943,0.0773079623019132,True,13.3,
